hero,opponent,games,wins,losses,win_rate,source
Lancelot,Hylos,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lancelot,Akai,3,3,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lancelot,Gatotkaca,3,3,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lancelot,Natan,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bruno,Ling,5,3,2,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bruno,Hylos,4,3,1,0.75,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bruno,Valentina,4,1,3,0.25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bruno,Beatrix,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bruno,Chou,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minotaur,Valentina,5,2,3,0.4,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minotaur,Ruby,5,1,4,0.2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minotaur,Roger,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minotaur,Alpha,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minotaur,Claude,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alice,Valentina,6,2,4,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alice,Khaleed,4,1,3,0.25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alice,Tigreal,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alice,Gatotkaca,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alice,Hayabusa,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Suyou,Natan,5,3,2,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Suyou,Yve,5,3,2,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Suyou,Moskov,4,4,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Suyou,Hylos,4,3,1,0.75,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Suyou,Nolan,4,3,1,0.75,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lolita,Phoveus,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lolita,Edith,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lolita,Nolan,3,0,3,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lolita,Terizla,3,0,3,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lolita,Roger,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
