,file,player,ss_type,opening_failure,battle_id,match_result,match_duration,left_team_kills,right_team_kills,left_heroes,right_heroes,left_medals,right_medals,left_scores,right_scores
4768,vee_leqla/Screenshot_20230427-230726.jpg,vee_leqla,Result,False,243162293859941658,Victory,22.35,25,30,"['Hanabi', 'Franco', 'Xavier', 'Freya', 'Sun']","['Edith', 'Hayabusa', 'Cecilion', 'Belerick', 'Karrie']","['MVP Win', 'Gold', 'Gold', 'Silver', 'Silver']","['Gold', 'Bronze', 'Silver', 'Silver', 'MVP Lose']","[9.5, 8.3, 9.4, 5.0, 5.1]","[7.5, 5.3, 7.4, 6.8, 8.5]"
4769,vee_leqla/Screenshot_20230427-230735.jpg,vee_leqla,Result,False,620135318641329117,Victory,17.983333333333334,32,32,"['Irithel', 'Atlas', 'Lancelot', 'Yu Zhong', 'Vexana']","['Kagura', 'Kimmy', 'Melissa', 'Diggie', 'Terizla']","['MVP Win', 'Gold', 'Gold', 'Bronze', 'Gold']","['Gold', 'MVP Lose', 'Silver', 'Silver', 'Silver']","[10.7, 7.4, 7.1, 3.4, 9.7]","[10.1, 10.7, 6.1, 9.3, 9.3]"
4770,vee_leqla/Screenshot_20230427-230744.jpg,vee_leqla,Result,False,619429891737795691,Victory,24.683333333333334,43,28,"['Gloo', 'Irithel', 'Johnson', 'Vale', 'Dyrroth']","['Arlott', 'Fanny', 'Brody', 'Kadita', 'Cecilion']","['Silver', 'MVP Win', 'Gold', 'Gold', 'Silver']","['Gold', 'Bronze', 'Silver', 'Silver', 'MVP Lose']","[7.4, 9.9, 8.0, 9.0, 7.1]","[6.0, 3.0, 5.8, 5.4, 6.2]"
4771,vee_leqla/Screenshot_20230427-230753.jpg,vee_leqla,Result,False,617480023830046866,Defeat,11.916666666666666,6,21,"['Leomord', 'Helcurt', 'Irithel', 'Chou', 'Vexana']","['Cecilion', 'Khufra', 'Fredrinn', 'Claude', 'Jawhead']","['Silver', 'Bronze', 'Silver', 'Bronze', 'Silver']","['Gold', 'Gold', 'Silver', 'Gold', 'MVP Win']","[4.9, 3.7, 4.6, 3.0, 5.4]","[7.5, 7.9, 5.6, 9.6, 9.8]"
4772,vee_leqla/Screenshot_20230427-230802.jpg,vee_leqla,Result,False,616861063208116950,Defeat,15.533333333333333,23,35,"['Aamon', 'Vale', 'Melissa', 'Freya', 'Khufra']","['Minsitthar', 'Yin', 'Carmilla', 'Miya', 'Kimmy']","['Silver', 'MVP Lose', 'Silver', 'Bronze', 'Silver']","['Silver', 'MVP Win', 'Silver', 'Gold', 'Gold']","[5.9, 7.8, 5.8, 3.2, 5.7]","[5.0, 9.4, 5.8, 6.8, 8.5]"
4773,vee_leqla/Screenshot_20230427-230821.jpg,vee_leqla,Result,False,614614735182761550,Victory,20.533333333333335,33,32,"['Irithel', 'Xavier', 'Hayabusa', 'Kaja', 'Terizla']","['Selena', 'Cyclops', 'Lesley', 'Helcurt', 'Lapu-Lapu']","['Gold', 'MVP Win', 'Silver', 'Gold', 'Bronze']","['Silver', 'MVP Lose', 'Bronze', 'Gold', 'Silver']","[8.7, 9.8, 5.0, 7.7, 4.4]","[7.4, 8.5, 5.9, 8.1, 6.6]"
4774,vee_leqla/Screenshot_20230427-230830.jpg,vee_leqla,Result,False,614137989517937131,Victory,13.0,22,15,"['Franco', 'Dyrroth', 'Gloo', 'Irithel', 'Yve']","['Minsitthar', 'Bruno', 'Ling', 'Gatotkaca', 'Xavier']","['Silver', 'Gold', 'Gold', 'MVP Win', 'Gold']","['Silver', 'Silver', 'Gold', 'Bronze', 'MVP Lose']","[5.9, 8.5, 8.5, 9.1, 8.2]","[5.1, 6.2, 7.8, 4.1, 9.0]"
4775,vee_leqla/Screenshot_20230427-230839.jpg,vee_leqla,Result,False,277785657320484102,Defeat,15.766666666666667,32,27,"['Irithel', 'Harley', 'Franco', 'Masha', 'Kagura']","['Melissa', 'Cecilion', 'Grock', 'Lancelot', 'Joy']","['MVP Lose', 'Gold', 'Silver', 'Silver', 'Silver']","['Gold', 'Silver', 'Gold', 'Gold', 'MVP Win']","[8.9, 8.2, 6.8, 6.7, 7.3]","[6.1, 5.5, 6.7, 6.3, 8.4]"
4776,vee_leqla/Screenshot_20230427-230848.jpg,vee_leqla,Result,False,276619242987136851,Victory,18.3,44,30,"['Gusion', 'Ruby', 'Irithel', 'Harley', 'Saber']","['Edith', 'Pharsa', 'Alucard', 'Badang', 'Beatrix']","['Gold', 'Gold', 'MVP Win', 'Gold', 'Bronze']","['MVP Lose', 'Gold', 'Bronze', 'Silver', 'Silver']","[6.5, 6.6, 14.0, 9.8, 3.8]","[6.3, 6.0, 4.2, 5.3, 5.9]"
4777,vee_leqla/Screenshot_20230427-230857.jpg,vee_leqla,Result,False,275477047974371685,Victory,17.616666666666667,42,29,"['Martis', 'Gord', 'X.Borg', 'Franco', 'Irithel']","['Atlas', 'Saber', 'Minsitthar', 'Cyclops', 'Bruno']","['Gold', 'MVP Win', 'Silver', 'Gold', 'Gold']","['Silver', 'Silver', 'Bronze', 'Silver', 'MVP Lose']","[9.5, 11.5, 6.8, 9.0, 11.3]","[5.8, 5.8, 4.3, 5.5, 9.4]"
